"index","season"
1,"Winter"
2,"Winter"
3,"Winter"
4,"Winter"
5,"Winter"
6,"Winter"
7,"Winter"
8,"Winter"
9,"Winter"
10,"Winter"
11,"Winter"
12,"Winter"
13,"Winter"
14,"Winter"
15,"Winter"
16,"Winter"
17,"Winter"
18,"Winter"
19,"Winter"
20,"Winter"
21,"Winter"
22,"Winter"
23,"Winter"
24,"Winter"
25,"Winter"
26,"Winter"
27,"Winter"
28,"Winter"
29,"Winter"
30,"Winter"
31,"Winter"
32,"Winter"
33,"Winter"
34,"Winter"
35,"Winter"
36,"Winter"
37,"Winter"
38,"Winter"
39,"Winter"
40,"Winter"
41,"Winter"
42,"Winter"
43,"Winter"
44,"Winter"
45,"Winter"
46,"Winter"
47,"Winter"
48,"Spring"
49,"Spring"
50,"Spring"
51,"Spring"
52,"Spring"
53,"Spring"
54,"Spring"
55,"Spring"
56,"Spring"
57,"Spring"
58,"Spring"
59,"Spring"
60,"Spring"
61,"Spring"
62,"Spring"
63,"Spring"
64,"Spring"
65,"Spring"
66,"Spring"
67,"Spring"
68,"Spring"
69,"Spring"
70,"Spring"
71,"Spring"
72,"Spring"
73,"Spring"
74,"Spring"
75,"Spring"
76,"Spring"
77,"Spring"
78,"Spring"
79,"Spring"
80,"Spring"
81,"Spring"
82,"Spring"
83,"Spring"
84,"Spring"
85,"Spring"
86,"Spring"
87,"Spring"
88,"Summer"
89,"Summer"
90,"Summer"
91,"Summer"
92,"Summer"
93,"Summer"
94,"Summer"
95,"Summer"
96,"Summer"
97,"Summer"
98,"Summer"
99,"Summer"
100,"Summer"
101,"Summer"
102,"Summer"
103,"Summer"
104,"Summer"
105,"Summer"
106,"Summer"
107,"Summer"
108,"Summer"
109,"Summer"
110,"Summer"
111,"Summer"
112,"Summer"
113,"Summer"
114,"Summer"
115,"Summer"
116,"Summer"
117,"Summer"
118,"Summer"
119,"Autumn"
120,"Autumn"
121,"Autumn"
122,"Autumn"
123,"Autumn"
124,"Autumn"
125,"Autumn"
126,"Autumn"
127,"Autumn"
128,"Autumn"
129,"Autumn"
130,"Autumn"
131,"Autumn"
132,"Autumn"
133,"Autumn"
134,"Autumn"
135,"Autumn"
136,"Autumn"
137,"Autumn"
138,"Autumn"
139,"Autumn"
140,"Autumn"
141,"Autumn"
142,"Autumn"
143,"Autumn"
144,"Autumn"
145,"Autumn"
146,"Autumn"
147,"Autumn"
148,"Autumn"
149,"Winter"
150,"Winter"
151,"Winter"
152,"Winter"
153,"Winter"
154,"Winter"
155,"Winter"
156,"Winter"
157,"Winter"
158,"Winter"
159,"Winter"
160,"Winter"
161,"Winter"
162,"Winter"
163,"Winter"
164,"Winter"
165,"Winter"
166,"Winter"
167,"Winter"
168,"Winter"
169,"Winter"
170,"Winter"
171,"Winter"
172,"Winter"
173,"Winter"
174,"Winter"
175,"Winter"
176,"Winter"
177,"Winter"
178,"Winter"
179,"Winter"
180,"Winter"
181,"Winter"
182,"Winter"
183,"Winter"
184,"Winter"
185,"Winter"
186,"Winter"
187,"Winter"
188,"Winter"
189,"Winter"
190,"Winter"
191,"Winter"
192,"Winter"
193,"Winter"
194,"Winter"
195,"Winter"
196,"Spring"
197,"Spring"
198,"Spring"
199,"Spring"
200,"Spring"
201,"Spring"
202,"Spring"
203,"Spring"
204,"Spring"
205,"Spring"
206,"Spring"
207,"Spring"
208,"Spring"
209,"Spring"
210,"Spring"
211,"Spring"
212,"Spring"
213,"Spring"
214,"Spring"
215,"Spring"
216,"Spring"
217,"Spring"
218,"Spring"
219,"Spring"
220,"Spring"
221,"Spring"
222,"Spring"
223,"Spring"
224,"Spring"
225,"Spring"
226,"Spring"
227,"Spring"
228,"Spring"
229,"Spring"
230,"Spring"
231,"Spring"
232,"Spring"
233,"Spring"
234,"Spring"
235,"Spring"
236,"Spring"
237,"Spring"
238,"Spring"
239,"Spring"
240,"Spring"
241,"Spring"
242,"Spring"
243,"Spring"
244,"Spring"
245,"Spring"
246,"Spring"
247,"Spring"
248,"Spring"
249,"Spring"
250,"Spring"
251,"Spring"
252,"Spring"
253,"Spring"
254,"Spring"
255,"Spring"
256,"Spring"
257,"Spring"
258,"Summer"
259,"Summer"
260,"Summer"
261,"Summer"
262,"Summer"
263,"Summer"
264,"Summer"
265,"Summer"
266,"Summer"
267,"Summer"
268,"Summer"
269,"Summer"
270,"Summer"
271,"Summer"
272,"Summer"
273,"Summer"
274,"Summer"
275,"Summer"
276,"Summer"
277,"Summer"
278,"Summer"
279,"Summer"
280,"Summer"
281,"Summer"
282,"Summer"
283,"Summer"
284,"Summer"
285,"Summer"
286,"Summer"
287,"Summer"
288,"Summer"
289,"Summer"
290,"Summer"
291,"Summer"
292,"Summer"
293,"Summer"
294,"Summer"
295,"Summer"
296,"Summer"
297,"Summer"
298,"Summer"
299,"Summer"
300,"Summer"
301,"Summer"
302,"Autumn"
303,"Autumn"
304,"Autumn"
305,"Autumn"
306,"Autumn"
307,"Autumn"
308,"Autumn"
309,"Autumn"
310,"Autumn"
311,"Autumn"
312,"Autumn"
313,"Autumn"
314,"Autumn"
315,"Autumn"
